-0.0638  0.0114  -0.9979	-28.5325  -280.4777  2526.8692 	-51.3612  -305.2031  2105.5460 
-0.0495  0.0125  -0.9987	-20.4508  -277.9964  2516.0097 	-39.5178  -303.6587  2099.1975 
-0.0542  -0.0241  -0.9982	22.9589  -285.5741  2072.9995	6.4425  -320.5639  1647.6006 
-0.0583  -0.0310  -0.9978	25.9830  -284.1692  2077.9357 	10.2741  -321.3408  1651.4611 
-0.0606  -0.0263  -0.9978	28.2495  -287.8716  2074.7272 	11.5820  -322.2885  1648.8296 
0.0379  -0.0223  -0.9990	-170.0568  -192.2829  1472.5919 	-156.7972  -216.7177  1038.9907
0.0392  -0.0208  -0.9990	-165.4889  -194.8658  1472.139	-148.7462  -222.2159  1038.9151
0.0182  -0.0121  -0.9998	-146.4773  -201.2910  1468.7352	-136.7117  -224.5872  1034.9648 
-0.0325  0.0057  0.9995	-161.7460  -175.7118  1257.2024 	-146.0862  -207.7173  821.3645 
0.0255  -0.0048  -0.9997	-164.8583  -176.8128  1255.9567 	-150.7971  -211.6489  820.1092 
0.0189  -0.0043  -0.9998	-163.4015  -176.6494  1254.853	-150.7293  -212.0224  819.1373 
0.0614  -0.0206  0.9979	-16.9547  -300.1954  2526.3805 	-39.2399  -327.1699  2101.8222 
-0.0153  -0.0247  -0.9996	29.4424  -185.3721  2545.1299 	-12.0082  -199.3025  2190.4173 
0.0153  0.0186  0.9997	3.8747  -168.3027  2534.9586	12.0737  -202.1956  2180.0070 
0.0238  0.0079  0.9997	13.3916  -202.1733  2523.1866	21.0214  -198.0342  2168.7229 
-0.0529  -0.1009  -0.9935	-43.9085  -195.6042  2120.4226	-45.4690  -234.1677  1760.5769 
0.0546  0.1011  0.9934	-34.5180  -203.1971  2119.3441	-41.4784  -238.5843  1763.2946 
0.0524  0.0999  0.9936	-36.7079  -205.5002  2114.0835 	-42.1825  -240.9159  1756.0920 
0.0354  -0.0098  0.9993	-232.2492  -159.6739  1482.0129 	-229.9944  -154.1915  1114.9763
0.0298  -0.0084  0.9995	-233.1280  -163.4281  1485.296	-230.5081  -157.5770  1118.1114
0.0414  -0.0091  0.9991	-217.3058  -173.4380  1488.037	-221.1490  -166.6778  1121.9465
0.0419  0.1669  0.9851	-133.1898  -114.6990  1275.1328 	-133.5761  -163.5878  909.7483 
0.0438  0.1657  0.9852	-134.4511  -113.9057  1275.519	-132.2104  -163.9249  910.0012 
-0.0458  -0.1674  -0.9848	-130.9405  -117.8785  1277.328	-131.8172  -164.6496  911.2228 
